# edges.csv  –  CMapNav sample city road network
# Format: from_id,to_id,distance_km,road_name,speed_limit,road_type
# road_type: 0=highway, 1=arterial, 2=local
# Each direction is listed explicitly.
from_id,to_id,distance_km,road_name,speed_limit,road_type
10,49,0.4,Park South Road,40,2
49,10,0.4,Park South Road,40,2
49,50,0.4,Civic Lane,40,2
50,49,0.4,Civic Lane,40,2
50,51,0.5,Market Street,40,2
51,50,0.5,Market Street,40,2
51,52,0.4,Emergency Lane,50,2
52,51,0.4,Emergency Lane,50,2
52,53,0.5,Museum Road,40,2
53,52,0.5,Museum Road,40,2
53,54,0.4,Art District Road,40,2
54,53,0.4,Art District Road,40,2
24,18,0.8,Market Link,50,1
18,24,0.8,Market Link,50,1
24,25,0.7,Station Bridge,50,1
25,24,0.7,Station Bridge,50,1
25,45,0.6,Food Street Access,40,2
45,25,0.6,Food Street Access,40,2
45,46,0.4,Spice Lane,30,2
46,45,0.4,Spice Lane,30,2
46,47,0.6,Riverside Promenade,40,2
47,46,0.6,Riverside Promenade,40,2
47,48,0.7,Ferry Road,40,2
48,47,0.7,Ferry Road,40,2
# --- Northern Expressway spine ---
4,14,1.4,Expressway North,100,0
14,4,1.4,Expressway North,100,0
14,55,0.9,Power Road,60,1
55,14,0.9,Power Road,60,1
55,56,0.5,Expressway Ramp,100,0
56,55,0.5,Expressway Ramp,100,0
56,57,0.7,Airport Express,100,0
57,56,0.7,Airport Express,100,0
57,58,0.6,Ring Road North,100,0
58,57,0.6,Ring Road North,100,0
58,59,0.7,Ring Road NW,100,0
59,58,0.7,Ring Road NW,100,0
# --- Cross links for reachability ---
9,41,1.3,Exhibition Road,60,1
41,9,1.3,Exhibition Road,60,1
41,42,0.4,Convention Avenue,50,1
42,41,0.4,Convention Avenue,50,1
42,43,0.5,Hotel Boulevard,50,1
43,42,0.5,Hotel Boulevard,50,1
43,44,0.6,Luxury Mile,50,2
44,43,0.6,Luxury Mile,50,2
44,48,0.8,East End Road,50,1
48,44,0.8,East End Road,50,1
1,55,2.2,Northern Connector,80,1
55,1,2.2,Northern Connector,80,1
2,15,1.8,Expressway Feeder,80,1
15,2,1.8,Expressway Feeder,80,1
5,56,1.5,NW Link,80,1
56,5,1.5,NW Link,80,1
6,57,2.0,Airport North Link,80,1
57,6,2.0,Airport North Link,80,1
7,58,1.8,Ring Access NW,100,0
58,7,1.8,Ring Access NW,100,0
11,13,1.2,Ring Road SW,100,0
13,11,1.2,Ring Road SW,100,0
13,37,1.0,Outer Ring Road W,80,1
37,13,1.0,Outer Ring Road W,80,1
39,41,0.9,Science-Exhibition Road,50,1
41,39,0.9,Science-Exhibition Road,50,1
18,51,1.0,Old Market Road,40,2
51,18,1.0,Old Market Road,40,2
19,53,1.2,Heritage Drive,40,2
53,19,1.2,Heritage Drive,40,2
20,47,1.1,East River Road,50,1
47,20,1.1,East River Road,50,1
29,44,1.2,Airport East Road,70,1
44,29,1.2,Airport East Road,70,1
26,41,1.0,Hospital-Exhibition Rd,50,1
41,26,1.0,Hospital-Exhibition Rd,50,1
54,33,1.3,Art-Police Link,40,2
33,54,1.3,Art-Police Link,40,2
12,36,1.5,Industrial-Depot Road,60,1
36,12,1.5,Industrial-Depot Road,60,1
# --- Additional arterials for density ---
0,51,1.0,Central Market Road,50,1
51,0,1.0,Central Market Road,50,1
24,45,0.5,Bus Station Market,40,2
45,24,0.5,Bus Station Market,40,2
3,26,1.5,University Hospital Rd,60,1
26,3,1.5,University Hospital Rd,60,1
4,39,1.6,Research-Science Link,70,1
39,4,1.6,Research-Science Link,70,1
15,55,0.8,IT-Power Link,60,1
55,15,0.8,IT-Power Link,60,1
50,30,0.8,Town Hall Mall Rd,50,1
30,50,0.8,Town Hall Mall Rd,50,1
